model,criterion,n_p,n_c,mean_p,mean_c,diff,t,p,cohen_d,hedges_g,q_fdr,family,n_fam,n_gpt,mean_fam,mean_gpt
I7_family_vs_gpt,implementation_grounding,,,,,,0.35717229181688986,0.7221296295716525,,0.08379753031543992,,Divergent,42.0,31.0,1.9166666666666667,1.8387096774193548
I7_family_vs_gpt,implementation_grounding,,,,,,1.1028769038546846,0.27414848545099607,,0.26372693699873734,,Convergent,36.0,31.0,2.111111111111111,1.8387096774193548
I7_family_vs_gpt,implementation_grounding,,,,,,1.1065590074997014,0.2747878152218839,,0.3095581988317048,,Rational,20.0,31.0,2.125,1.8387096774193548
I7_family_vs_gpt,implementation_grounding,,,,,,-0.09359350405846104,0.9259610422981756,,-0.027425169005898174,,BoundedRational,21.0,31.0,1.8095238095238095,1.8387096774193548
I7_family_vs_gpt,cognitive_load_clarity,,,,,,0.49314502781142733,0.6238579538949499,,0.11967964197000425,,Divergent,42.0,31.0,3.25,3.193548387096774
I7_family_vs_gpt,cognitive_load_clarity,,,,,,3.031401389295665,0.0035625900728232184,,0.7393377860864865,,Convergent,36.0,31.0,3.5694444444444446,3.193548387096774
I7_family_vs_gpt,cognitive_load_clarity,,,,,,1.5907307863431333,0.11906336629156816,,0.44284418025994454,,Rational,20.0,31.0,3.425,3.193548387096774
I7_family_vs_gpt,cognitive_load_clarity,,,,,,1.5232266500956446,0.13446930371198698,,0.41361356127519205,,BoundedRational,21.0,31.0,3.4047619047619047,3.193548387096774
I7_family_vs_gpt,stance_integrity,,,,,,3.7042916856749257,0.0007246680308242009,,0.9804421499697373,,Divergent,42.0,31.0,3.9761904761904763,3.661290322580645
I7_family_vs_gpt,stance_integrity,,,,,,3.6068815338108213,0.0009116066492079087,,0.9256156928857542,,Convergent,36.0,31.0,3.9722222222222223,3.661290322580645
I7_family_vs_gpt,stance_integrity,,,,,,2.2360572317967273,0.02994997442174633,,0.5819221377643469,,Rational,20.0,31.0,3.9,3.661290322580645
I7_family_vs_gpt,stance_integrity,,,,,,0.6123846835119455,0.5434176862617378,,0.16912597419560904,,BoundedRational,21.0,31.0,3.738095238095238,3.661290322580645
I7_family_vs_gpt,premature_convergence_risk,,,,,,-3.806545706024265,0.0003520400993440601,,-0.9223284062237828,,Divergent,42.0,31.0,0.21428571428571427,0.6451612903225806
I7_family_vs_gpt,premature_convergence_risk,,,,,,-0.9330556007976495,0.35435288500745477,,-0.2264122846256917,,Convergent,36.0,31.0,0.5277777777777778,0.6451612903225806
I7_family_vs_gpt,premature_convergence_risk,,,,,,-2.718415350889882,0.009274522775812716,,-0.7416258242431394,,Rational,20.0,31.0,0.275,0.6451612903225806
I7_family_vs_gpt,premature_convergence_risk,,,,,,-2.0577699930199778,0.045378728058323034,,-0.563573777467126,,BoundedRational,21.0,31.0,0.35714285714285715,0.6451612903225806
I7_family_vs_gpt,runaway_divergence_risk,,,,,,1.6325085830714294,0.1084308661011945,,0.39879320604750673,,Divergent,42.0,31.0,0.5833333333333334,0.3387096774193548
I7_family_vs_gpt,runaway_divergence_risk,,,,,,-0.7121755074135279,0.4798221147375922,,-0.17868374773237003,,Convergent,36.0,31.0,0.2361111111111111,0.3387096774193548
I7_family_vs_gpt,runaway_divergence_risk,,,,,,-0.23622728170048826,0.8142433481662628,,-0.061380079199488076,,Rational,20.0,31.0,0.3,0.3387096774193548
I7_family_vs_gpt,runaway_divergence_risk,,,,,,-0.8095427374935024,0.42211434174001966,,-0.2043647972428629,,BoundedRational,21.0,31.0,0.21428571428571427,0.3387096774193548
