measure,contrast,family_a,family_b,mean_a,mean_b,n_a,n_b,g,welch_t,p,sig_05
orig_same,Divergent vs Convergent,Divergent,Convergent,-0.027983598411083214,-0.017954320129421015,36,36,-0.29449699158166187,-1.2630258417481341,0.21084779516868793,False
orig_same,Divergent vs Rational,Divergent,Rational,-0.027983598411083214,-0.02529459553105493,36,7,-0.06392651785002347,-0.10749061347883046,0.9175263972283859,False
orig_same,Divergent vs BoundedRational,Divergent,BoundedRational,-0.027983598411083214,-0.042096363380551324,36,8,0.37518431292155224,0.8863332253235936,0.39745317411802245,False
orig_same,Convergent vs Rational,Convergent,Rational,-0.017954320129421015,-0.02529459553105493,36,7,0.1897610457768557,0.2954495049205331,0.7767752011095507,False
orig_same,Convergent vs BoundedRational,Convergent,BoundedRational,-0.017954320129421015,-0.042096363380551324,36,8,0.7123541670494196,1.5424798597902627,0.15798033087741736,False
orig_same,Rational vs BoundedRational,Rational,BoundedRational,-0.02529459553105493,-0.042096363380551324,7,8,0.2965232231140956,0.591185844911004,0.567428442084171,False
orig_all,Divergent vs Convergent,Divergent,Convergent,-0.014660515305068764,-0.008115546984805008,36,36,-0.18586510354725147,-0.7971301424798298,0.42814589057157704,False
orig_all,Divergent vs Rational,Divergent,Rational,-0.014660515305068764,-0.01198109132902962,36,7,-0.06116386920473562,-0.10395235799369668,0.9202175270284096,False
orig_all,Divergent vs BoundedRational,Divergent,BoundedRational,-0.014660515305068764,-0.030376041308045394,36,8,0.3989997813418285,0.9452600442039578,0.3680345693358909,False
orig_all,Convergent vs Rational,Convergent,Rational,-0.008115546984805008,-0.01198109132902962,36,7,0.097864535924461,0.15125615115408705,0.8843265805488149,False
orig_all,Convergent vs BoundedRational,Convergent,BoundedRational,-0.008115546984805008,-0.030376041308045394,36,8,0.6422558053525281,1.3670439784464299,0.20576789008164284,False
orig_all,Rational vs BoundedRational,Rational,BoundedRational,-0.01198109132902962,-0.030376041308045394,7,8,0.3139702101381565,0.6264911270279346,0.5448089960908454,False
orig_cross,Divergent vs Convergent,Divergent,Convergent,-0.006771612498495315,-0.006494608190324576,36,36,-0.007720838967765233,-0.033112797125329635,0.9736803368350088,False
orig_cross,Divergent vs Rational,Divergent,Rational,-0.006771612498495315,-0.0162486433982849,36,7,0.24182732663800927,0.5441308931599882,0.6013813112894895,False
