scorer,contrast,family,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
C,Divergent vs GPT,Divergent,evaluative_discipline,15,42,0.4,0.19047619047619047,0.20952380952380956,0.34204536446991796,-0.25084236574177055,0.9349330946816065,1.0053336420779193,19.89431405994655,0.32680829409179557,False
C,Divergent vs GPT,Divergent,agency_preservation,50,50,2.96,2.1,0.8599999999999999,0.9793132363422915,0.5644813219469269,1.394145150737656,4.934426229508196,70.41445999036226,5.185709809563522e-06,True
C,Divergent vs GPT,Divergent,anchor_management,45,45,2.088888888888889,0.5555555555555556,1.5333333333333334,1.7198720657709967,1.236273869154479,2.2034702623875146,8.228397703402061,87.95997490704998,1.585618182885108e-12,True
C,Divergent vs GPT,Divergent,coregulation_uptake,50,50,3.26,1.94,1.3199999999999998,1.3069414583866272,0.8751161377993779,1.7387667789738765,6.585233379241898,77.13387284937689,4.984663225505578e-09,True
C,Divergent vs GPT,Divergent,timing_fit,50,50,2.96,1.94,1.02,1.2265212491633128,0.7992512656303474,1.6537912326962783,6.180023304418239,73.14937064444545,3.2902806822304354e-08,True
C,Divergent vs GPT,Divergent,implementation_grounding,49,50,1.2653061224489797,1.34,-0.07469387755102042,-0.10244321175561555,-0.49669645101554966,0.29181002750431856,-0.5143433215716087,95.60616351872231,0.60819888991659,False
C,Divergent vs GPT,Divergent,cognitive_load_clarity,50,50,2.94,2.34,0.6000000000000001,0.9314771849792864,0.5187668551790763,1.3441875147794966,4.69339664081058,74.63972587433423,1.1918840248502624e-05,True
C,Divergent vs GPT,Divergent,stance_integrity,50,49,2.92,1.6326530612244898,1.28734693877551,1.3040736267038522,0.8702220031794756,1.7379252502282287,6.485148872846978,58.58175112665356,2.0545849517599473e-08,True
C,Divergent vs GPT,Divergent,premature_convergence_risk,50,49,0.3,1.3877551020408163,-1.0877551020408163,-1.0730760088630062,-1.4944704480647801,-0.6516815696612324,-5.358701258000188,83.26914835599845,7.326128134809984e-07,True
C,Divergent vs GPT,Divergent,runaway_divergence_risk,50,50,0.78,0.36,0.42000000000000004,0.6515460408706892,0.2492799210311818,1.0538121607101967,3.2829188399541174,80.12522895830935,0.0015238476454450664,True
