scorer,contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Convergent vs Rational,Convergent,Rational,evaluative_discipline,36,19,1.7777777777777777,2.1578947368421053,-0.38011695906432763,-0.3907106621805433,-0.9512745267597674,0.16985320239868085,-1.5376150053606186,47.32431085488909,0.1308026955360907,False
A,Convergent vs Rational,Convergent,Rational,agency_preservation,36,19,3.4166666666666665,3.473684210526316,-0.05701754385964941,-0.11142231647426891,-0.6676004888140504,0.4447558558655126,-0.39539439203710974,35.92979045453787,0.694889747734635,False
A,Convergent vs Rational,Convergent,Rational,anchor_management,36,19,2.5833333333333335,2.6842105263157894,-0.1008771929824559,-0.20191627132459983,-0.7589839761486821,0.35515143349948247,-0.7328409360587392,38.26493817617172,0.46812123691693547,False
A,Convergent vs Rational,Convergent,Rational,coregulation_uptake,36,19,3.138888888888889,3.0,0.13888888888888884,0.3969397938630306,-0.16377688579565797,0.9576564735217191,1.9633200326642595,35.0,0.05759356941882789,False
A,Convergent vs Rational,Convergent,Rational,timing_fit,36,19,3.7777777777777777,3.8421052631578947,-0.06432748538011701,-0.15608014062009334,-0.7126332466758852,0.40047296543569855,-0.5794290886833618,40.74599072736945,0.5654897352384602,False
A,Convergent vs Rational,Convergent,Rational,implementation_grounding,36,19,2.0833333333333335,2.0526315789473686,0.030701754385964897,0.03006806678739726,-0.5257485926051015,0.5858847261798961,0.11587707037783275,45.00067515976037,0.9082655332218615,False
A,Convergent vs Rational,Convergent,Rational,cognitive_load_clarity,36,19,3.5277777777777777,3.3684210526315788,0.15935672514619892,0.31249697664501824,-0.24635097241418996,0.8713449257042265,1.1254762201110968,37.44837312604087,0.267548948111006,False
A,Convergent vs Rational,Convergent,Rational,stance_integrity,36,19,3.9722222222222223,3.8947368421052633,0.07748538011695905,0.33461904410714255,-0.22467603099186834,0.8939141192061535,0.9999999999999998,23.43813113707004,0.3275234258915586,False
A,Convergent vs Rational,Convergent,Rational,premature_convergence_risk,36,19,0.5277777777777778,0.3157894736842105,0.21198830409356728,0.4206962040514856,-0.14062505415823584,0.982017462261207,1.5329105105237053,38.68834030701536,0.1334354612641598,False
A,Convergent vs Rational,Convergent,Rational,runaway_divergence_risk,36,19,0.25,0.3157894736842105,-0.06578947368421051,-0.14330292281571622,-0.6997359979303642,0.4131301522989318,-0.499310950797672,34.15322179456633,0.6207617107368567,False
